n,execution_time
1000,0.0650026798248291
0,0.0
1,0.0
2,0.002001047134399414
3,0.0009949207305908203
4,0.0009987354278564453
5,0.002000570297241211
6,0.0019998550415039062
7,0.0009999275207519531
8,0.0010004043579101562
9,0.0060024261474609375
10,0.0019989013671875
11,0.002005338668823242
12,0.003997087478637695
13,0.003004312515258789
14,0.001996755599975586
15,0.0019998550415039062
16,0.005006551742553711
17,0.002995729446411133
18,0.0009989738464355469
19,0.001997709274291992
20,0.002000570297241211
21,0.003995418548583984
22,0.002000570297241211
23,0.0020003318786621094
24,0.009000301361083984
25,0.0030066967010498047
26,0.003999948501586914
27,0.0020012855529785156
28,0.0009999275207519531
29,0.0010001659393310547
30,0.002000093460083008
31,0.0029964447021484375
32,0.0039997100830078125
33,0.006999969482421875
34,0.002003908157348633
35,0.0009996891021728516
36,0.0009996891021728516
37,0.00800633430480957
38,0.0030028820037841797
39,0.002000093460083008
40,0.0030031204223632812
41,0.008000612258911133
42,0.0019996166229248047
43,0.002000093460083008
44,0.0019981861114501953
45,0.002000093460083008
46,0.0010001659393310547
47,0.00099945068359375
48,0.000997781753540039
49,0.001999378204345703
50,0.001996755599975586
51,0.00099945068359375
52,0.0020012855529785156
53,0.003999948501586914
54,0.004002571105957031
55,0.0010006427764892578
56,0.0010004043579101562
57,0.0009953975677490234
58,0.005002737045288086
59,0.0010004043579101562
60,0.0010004043579101562
61,0.006999969482421875
62,0.0020017623901367188
63,0.0019910335540771484
64,0.002000093460083008
65,0.0009999275207519531
66,0.0030045509338378906
67,0.0009961128234863281
68,0.0020003318786621094
69,0.0009996891021728516
70,0.0010004043579101562
71,0.003000020980834961
72,0.0009989738464355469
73,0.0010004043579101562
74,0.0060024261474609375
75,0.0010006427764892578
76,0.0020017623901367188
77,0.0019960403442382812
78,0.006000041961669922
79,0.029999494552612305
80,0.0010006427764892578
81,0.0029990673065185547
82,0.0009999275207519531
83,0.0009992122650146484
84,0.02599954605102539
85,0.0020020008087158203
86,0.0010004043579101562
87,0.00899958610534668
88,0.002000093460083008
89,0.003000497817993164
90,0.0020008087158203125
91,0.0019953250885009766
92,0.002002239227294922
93,0.000997781753540039
94,0.0039980411529541016
95,0.002000570297241211
96,0.0010004043579101562
97,0.001998424530029297
98,0.0020041465759277344
99,0.0020051002502441406
100,0.002000570297241211
101,0.0030012130737304688
102,0.003000497817993164
103,0.002995014190673828
104,0.002996683120727539
105,0.0019991397857666016
106,0.0029981136322021484
107,0.002000093460083008
108,0.0029892921447753906
109,0.0009999275207519531
110,0.00500035285949707
111,0.0019991397857666016
112,0.001997232437133789
113,0.0029931068420410156
114,0.002004384994506836
115,0.001993894577026367
116,0.003007650375366211
117,0.0019991397857666016
118,0.0030002593994140625
119,0.0010004043579101562
120,0.0020008087158203125
121,0.0019910335540771484
122,0.002005338668823242
123,0.0009996891021728516
124,0.004001140594482422
125,0.0019974708557128906
126,0.0030014514923095703
127,0.001999378204345703
128,0.001999378204345703
129,0.0020024776458740234
130,0.0020012855529785156
131,0.0009982585906982422
132,0.008002042770385742
133,0.009999752044677734
134,0.0009999275207519531
135,0.0009999275207519531
136,0.0009996891021728516
137,0.002000093460083008
138,0.0030002593994140625
139,0.0020003318786621094
140,0.0019998550415039062
141,0.003000974655151367
142,0.0019986629486083984
143,0.00400090217590332
144,0.003999948501586914
145,0.0019991397857666016
146,0.002007722854614258
147,0.002990245819091797
148,0.0009992122650146484
149,0.0029931068420410156
150,0.003003358840942383
151,0.0030059814453125
152,0.0029997825622558594
153,0.0019872188568115234
154,0.0029976367950439453
155,0.004002094268798828
156,0.0009992122650146484
157,0.003003835678100586
158,0.0019979476928710938
159,0.0029973983764648438
160,0.0020055770874023438
161,0.0010046958923339844
162,0.003003358840942383
163,0.0009992122650146484
164,0.0020096302032470703
165,0.0010001659393310547
166,0.0020020008087158203
167,0.0009920597076416016
168,0.0020008087158203125
169,0.0009987354278564453
170,0.001998424530029297
171,0.0009970664978027344
172,0.0020012855529785156
173,0.0009951591491699219
174,0.0019996166229248047
175,0.0019991397857666016
176,0.0019998550415039062
177,0.0029976367950439453
178,0.0020041465759277344
179,0.001993417739868164
180,0.001996278762817383
181,0.002000570297241211
182,0.023999691009521484
183,0.0020034313201904297
184,0.013998746871948242
185,0.0029985904693603516
186,0.001997709274291992
187,0.001999378204345703
188,0.003002643585205078
189,0.0029973983764648438
190,0.003004789352416992
191,0.002000570297241211
192,0.0029952526092529297
193,0.002006053924560547
194,0.00099945068359375
195,0.004998922348022461
196,0.004003286361694336
197,0.001981496810913086
198,0.003001689910888672
199,0.0019998550415039062
200,0.0030007362365722656
201,0.0009996891021728516
202,0.003998279571533203
203,0.005001544952392578
204,0.0020036697387695312
205,0.001994609832763672
206,0.01399993896484375
207,0.006012916564941406
208,0.00399327278137207
209,0.002995014190673828
210,0.004998683929443359
211,0.003994464874267578
212,0.010000467300415039
213,0.00600433349609375
214,0.004002809524536133
215,0.0020012855529785156
216,0.001998424530029297
217,0.0020003318786621094
218,0.0029952526092529297
219,0.004004001617431641
220,0.002997875213623047
221,0.00400090217590332
222,0.000997781753540039
223,0.0009999275207519531
224,0.0020008087158203125
225,0.003998517990112305
226,0.001998424530029297
227,0.0019986629486083984
228,0.0030028820037841797
229,0.002002239227294922
230,0.0030019283294677734
231,0.002001523971557617
232,0.0020046234130859375
233,0.001996755599975586
234,0.0019931793212890625
235,0.01799941062927246
236,0.0040013790130615234
237,0.00599980354309082
238,0.0029997825622558594
239,0.0040090084075927734
240,0.0010006427764892578
241,0.0020029544830322266
242,0.002000570297241211
243,0.0029976367950439453
244,0.003000020980834961
245,0.0010001659393310547
246,0.001999378204345703
247,0.0020036697387695312
248,0.003000974655151367
249,0.002002716064453125
250,0.0019893646240234375
251,0.002005338668823242
252,0.0009999275207519531
253,0.003003835678100586
254,0.0019991397857666016
255,0.003003358840942383
256,0.0019991397857666016
257,0.002985239028930664
258,0.002000570297241211
259,0.004004001617431641
260,0.0029964447021484375
261,0.0029931068420410156
262,0.002000093460083008
263,0.0010004043579101562
264,0.0009996891021728516
265,0.0029959678649902344
266,0.00099945068359375
267,0.002997875213623047
268,0.0009999275207519531
269,0.003996133804321289
270,0.002000570297241211
271,0.0009920597076416016
272,0.0020024776458740234
273,0.001998424530029297
274,0.0010001659393310547
275,0.0030012130737304688
276,0.001993417739868164
277,0.0029973983764648438
278,0.001999378204345703
279,0.001998424530029297
280,0.0010001659393310547
281,0.003000497817993164
282,0.0019998550415039062
283,0.002003192901611328
284,0.001996755599975586
285,0.02400064468383789
286,0.0030002593994140625
287,0.002002239227294922
288,0.0019996166229248047
289,0.005003690719604492
290,0.004004716873168945
291,0.004009723663330078
292,0.0020017623901367188
293,0.0019996166229248047
294,0.0009999275207519531
295,0.0030045509338378906
296,0.0019991397857666016
297,0.0039980411529541016
298,0.004008769989013672
299,0.0030007362365722656
300,0.0019998550415039062
301,0.0029976367950439453
302,0.0030019283294677734
303,0.0009989738464355469
304,0.003974199295043945
305,0.001997709274291992
306,0.0009992122650146484
307,0.003000497817993164
308,0.004002809524536133
309,0.0030059814453125
310,0.0029997825622558594
311,0.0029997825622558594
312,0.0030019283294677734
313,0.002005338668823242
314,0.003996372222900391
315,0.001998424530029297
316,0.004004240036010742
317,0.0019991397857666016
318,0.0029990673065185547
319,0.0030069351196289062
320,0.001998424530029297
321,0.01099705696105957
322,0.0030019283294677734
323,0.002000093460083008
324,0.002000093460083008
325,0.001997232437133789
326,0.00800013542175293
327,0.01100015640258789
328,0.001999378204345703
329,0.003009796142578125
330,0.0030031204223632812
331,0.003999471664428711
332,0.0030014514923095703
333,0.0020008087158203125
334,0.003001689910888672
335,0.0020003318786621094
336,0.00099945068359375
337,0.0030045509338378906
338,0.013001680374145508
339,0.003999948501586914
340,0.005002260208129883
341,0.003999233245849609
342,0.004003286361694336
